fiber_node;address;coordinate
FPD002;TANDANG AREA (2);-7.018026,110.453274
FSK005;TEMBALANG AREA (2);-7.062853,110.441114
FWS145;SAMPANGAN AREA (6);-7.01024523871969,110.396238185
FSU012;PLOMBOKAN AREA (2);-6.969069,110.411489
FPD044;SENDANG GUWO AREA (15);-7.016476,110.458364
FSK037;NGESREP AREA (7);-7.045734,110.426182
FSK038;NGESREP AREA (8);-7.04855,110.42959
FPD023;SENDANGMULYO AREA (4);-7.046632,110.479035
FPD007;SENDANGMULYO AREA (1);-7.052498,110.479672
FPD024;SENDANGMULYO AREA (5);-7.046762,110.480632
FSU030;PLOMBOKAN AREA (3);-6.967001,110.411427
FSU028;TAWANGMAS AREA (3);-6.9726003,110.392895
FWS156;PENDRIKAN LOR AREA (3);-6.975947,110.412833
FSK047;NGESREP AREA (9);-7.043264,110.427881
FOT000;HUB TEGAL;-6.8712111,109.1539167
FSU029;TAWANGMAS AREA (4);-6.964892,110.395983
FSK048;NGESREP AREA (10);-7.047287,110.430779
FSK049;NGESREP AREA (11);-7.044523,110.434413
FWS146;GAYAMSARI AREA (1);-6.994413,110.448993
FWS147;GAYAMSARI AREA (2);-6.995562,110.446831
FOT002;GREEN TEKSIN;-6.870823,109.152669
FOT004;SHANGRI-LA LAND;-6.871461,109.157586
FSK034;PADANGSARI AREA (5);-7.072568,110.431039
FOT003;BUMI ELOK SEJAHTERA;-6.888533,109.153672
FBL058;WONOSARI AREA (1);-6.987387,110.325258
FBL059;WONOSARI AREA (2);-6.990069,110.327341
FPD064;TAMAN BUKIT ASRI (1);-7.040532,110.461663
FPD065;TAMAN BUKIT ASRI (2);-7.042301,110.461556
FPD032;GEMAH AREA (2);-7.008777,110.456983
FPD060;SENDANGMULYO AREA (13);-7.046054101839518,110.47774167
FSK022;SRONDOL KULON AREA (2);-7.04978752571771,110.41217173
FPD059;SENDANGMULYO AREA (12);-7.043584444476162,110.478987396
FOT001;GRAHA GREEN GARDEN;-6.8852457,109.15118225
FOT006;PERUM MEJASEM INDAH (2);-6.8781,109.152707
FPD053;SENDANGMULYO AREA (6);-7.045943,110.469317
FPD054;SENDANGMULYO AREA (7);-7.046186,110.473334
FPD058;SENDANGMULYO AREA (11);-7.043613191238151,110.47942258
FBL061;BUKIT BERINGIN ASRI (2);-6.993504,110.324784
FPD063;SENDANGMULYO AREA (16);-7.042195,110.475411
FBL078;PERUM PASADENA (18);-7.0159963,110.3757512
FBL079;PERUM PASADENA (19);-7.013978,110.377169
FPD056;SENDANGMULYO AREA (9);-7.044481,110.475048
FPD057;SENDANGMULYO AREA (10);-7.044201,110.476669
FPD055;SENDANGMULYO AREA (8);-7.046422,110.475795
FSK056;PEDALANGAN AREA (4);-7.056606,110.42912
FBL060;BUKIT BERINGIN ASRI (1);-6.992597,110.322096
FOT011;PESONA GRIYA KALADAWA;-6.900252,109.146584
FOT005;PERUM MEJASEM INDAH (1);-6.879868,109.152349
